id,Season,Year,total_seas_prcp,name
ASN00040214,Autumn,1923,2181,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1923,3124,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1923,584,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1923,1618,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1923,2632,PERTH REGIONAL OFFICE
ASN00014163,Spring,1923,NA,DARWIN BOTANIC GARDENS
ASN00023000,Spring,1923,2163,ADELAIDE WEST TERRACE
ASN00040214,Spring,1923,736,BRISBANE REGIONAL OFFICE
ASN00066062,Spring,1923,1291,SYDNEY (OBSERVATORY HILL)
ASN00086071,Spring,1923,2224,MELBOURNE REGIONAL OFFICE
ASN00094030,Spring,1923,3100,HOBART BOTANICAL GARDENS
ASN00009034,Summer,1923,484,PERTH REGIONAL OFFICE
ASN00014163,Summer,1923,NA,DARWIN BOTANIC GARDENS
ASN00023000,Summer,1923,891,ADELAIDE WEST TERRACE
ASN00040214,Summer,1923,1637,BRISBANE REGIONAL OFFICE
ASN00066062,Summer,1923,926,SYDNEY (OBSERVATORY HILL)
ASN00086071,Summer,1923,1201,MELBOURNE REGIONAL OFFICE
ASN00094030,Summer,1923,1300,HOBART BOTANICAL GARDENS
ASN00009034,Winter,1923,5409,PERTH REGIONAL OFFICE
ASN00014163,Winter,1923,NA,DARWIN BOTANIC GARDENS
ASN00023000,Winter,1923,3316,ADELAIDE WEST TERRACE
ASN00040214,Winter,1923,1373,BRISBANE REGIONAL OFFICE
ASN00066062,Winter,1923,4068,SYDNEY (OBSERVATORY HILL)
ASN00086071,Winter,1923,1750,MELBOURNE REGIONAL OFFICE
ASN00094030,Winter,1923,1390,HOBART BOTANICAL GARDENS
ASN00009034,Autumn,1924,1443,PERTH REGIONAL OFFICE
ASN00014163,Autumn,1924,NA,DARWIN BOTANIC GARDENS
ASN00023000,Autumn,1924,1512,ADELAIDE WEST TERRACE
ASN00040214,Autumn,1924,1892,BRISBANE REGIONAL OFFICE
ASN00066062,Autumn,1924,3609,SYDNEY (OBSERVATORY HILL)
ASN00086071,Autumn,1924,2610,MELBOURNE REGIONAL OFFICE
ASN00094030,Autumn,1924,1470,HOBART BOTANICAL GARDENS
ASN00009034,Spring,1924,2627,PERTH REGIONAL OFFICE
ASN00014163,Spring,1924,NA,DARWIN BOTANIC GARDENS
